Method,Noise,SNR,Test Case,PESQ_Δ,STOI_Δ,segSNR_Δ
V3-3-Natural,babble,0,babble_0dB,0.027373790740966797,-0.0694776190549693,3.055606490298409
V3-3-Natural,babble,5,babble_5dB,0.12079238891601562,-0.08426869753627608,0.9725923478364531
V3-3-Natural,babble,10,babble_10dB,0.17967557907104492,-0.08687463801733963,-1.3308000884306757
V3-3-Natural,babble,15,babble_15dB,0.0951700210571289,-0.0736532827816414,-3.692100915117922
V3-3-Natural,car,0,car_0dB,0.23349714279174805,-0.05624453257419626,4.3802903690918535
V3-3-Natural,car,5,car_5dB,0.27618181705474854,-0.06045604277214622,2.530801351124083
V3-3-Natural,car,10,car_10dB,0.15688550472259521,-0.053130237299917504,0.6435946390781502
V3-3-Natural,car,15,car_15dB,-0.023442506790161133,-0.05013291093380623,-1.4137340417226198
V3-3-Natural,street,0,street_0dB,0.03398716449737549,-0.03235553400261304,3.273910331232616
V3-3-Natural,street,5,street_5dB,0.1400667428970337,-0.051562118990278405,0.9312488640508481
V3-3-Natural,street,10,street_10dB,0.26667702198028564,-0.07057731225049946,-1.693881939373432
V3-3-Natural,street,15,street_15dB,0.23640620708465576,-0.08329226430806524,-4.235916907752867
V3-3-Balanced,babble,0,babble_0dB,0.020742177963256836,-0.06277155895406705,3.05787436310185
V3-3-Balanced,babble,5,babble_5dB,0.11824488639831543,-0.08990636316328926,0.7086608138696642
V3-3-Balanced,babble,10,babble_10dB,0.1495603322982788,-0.10053534014330634,-1.8825288731183798
V3-3-Balanced,babble,15,babble_15dB,-0.019332528114318848,-0.0987385050177223,-4.601953447918484
V3-3-Balanced,car,0,car_0dB,0.24049723148345947,-0.07558081367351988,4.311671380757799
V3-3-Balanced,car,5,car_5dB,0.27931535243988037,-0.080484435394233,2.247226528593647
V3-3-Balanced,car,10,car_10dB,0.1576244831085205,-0.06801830042083457,0.4990538808292846
V3-3-Balanced,car,15,car_15dB,-0.09410810470581055,-0.058810403052743654,-2.454103879730143
V3-3-Balanced,street,0,street_0dB,0.0302579402923584,-0.030244637342363934,3.1965719596326903
V3-3-Balanced,street,5,street_5dB,0.14502811431884766,-0.05098630150394434,0.6853869415139433
V3-3-Balanced,street,10,street_10dB,0.2409905195236206,-0.0780283292257612,-2.0719972727997855
V3-3-Balanced,street,15,street_15dB,0.14625334739685059,-0.10107949507373637,-5.032960623570656
V3-4-Natural,babble,0,babble_0dB,0.01827096939086914,-0.03201079010316876,2.880228947792198
V3-4-Natural,babble,5,babble_5dB,0.05279660224914551,-0.026167376197707037,0.6502045793474143
V3-4-Natural,babble,10,babble_10dB,0.11869573593139648,-0.022939305426956658,-2.0931561743103995
V3-4-Natural,babble,15,babble_15dB,0.15425705909729004,-0.01570056460310043,-5.053958201796183
V3-4-Natural,car,0,car_0dB,0.09199905395507812,0.0012767620195245355,3.5398940944014026
V3-4-Natural,car,5,car_5dB,0.14341700077056885,-0.009749667368819992,1.2246889694432626
V3-4-Natural,car,10,car_10dB,0.171417236328125,-0.021333257088050894,-1.1855642893194274
V3-4-Natural,car,15,car_15dB,0.11371183395385742,-0.03375541570310581,-2.7978240483149373
V3-4-Natural,street,0,street_0dB,0.015210270881652832,-0.013436601630961498,3.1548070249304665
V3-4-Natural,street,5,street_5dB,0.05656254291534424,-0.015499361606832629,0.7641781412605952
V3-4-Natural,street,10,street_10dB,0.12650704383850098,-0.017947681082112532,-2.0390931356838977
V3-4-Natural,street,15,street_15dB,0.16445612907409668,-0.018274808954896637,-5.077938359406382
V3-4-Balanced,babble,0,babble_0dB,0.015452861785888672,-0.044898079676572444,2.9153241086357613
V3-4-Balanced,babble,5,babble_5dB,0.05046677589416504,-0.04029996346948006,0.5982756766369399
V3-4-Balanced,babble,10,babble_10dB,0.11855113506317139,-0.03432536313636825,-2.162037811435302
V3-4-Balanced,babble,15,babble_15dB,0.15475058555603027,-0.02657893230398456,-5.266201376548659
V3-4-Balanced,car,0,car_0dB,0.13205385208129883,-0.0029335524536803215,3.8441870135159535
V3-4-Balanced,car,5,car_5dB,0.2273808717727661,-0.012075576995849269,1.4374663013534865
V3-4-Balanced,car,10,car_10dB,0.28437256813049316,-0.013251868462131666,-1.2972444148575555
V3-4-Balanced,car,15,car_15dB,0.24174237251281738,-0.015598779638678617,-4.2249892969812315
V3-4-Balanced,street,0,street_0dB,0.01883542537689209,-0.0198515967817543,3.2116864805298366
V3-4-Balanced,street,5,street_5dB,0.06539380550384521,-0.024000103382286198,0.7288613977304015
V3-4-Balanced,street,10,street_10dB,0.13773763179779053,-0.02921815367930647,-2.139782008833487
V3-4-Balanced,street,15,street_15dB,0.15778160095214844,-0.030063273827046655,-5.258920851979149
